Sale_ID,Date,Product,Category,Quantity,Unit_Price,Revenue,Customer_ID,Region
SALE10000,2024-10-16,USB-C Cable,Cables,1,10.5,10.5,CUST5506,South
SALE10001,2023-08-17,Monitor 27in,Displays,4,347.29,1389.16,CUST9935,North
SALE10002,2024-08-27,Laptop Bag,Accessories,2,42.54,85.08,CUST2535,South
SALE10003,2023-08-27,Keyboard Wrist Rest,Accessories,1,30.05,30.05,CUST4257,Central
SALE10004,2024-03-05,USB Hub,Accessories,1,37.97,37.97,CUST5557,North
SALE10005,2023-06-13,Power Bank,Accessories,1,45.36,45.36,CUST5552,South
SALE10006,2023-08-09,Laptop Sleeve,Accessories,1,33.46,33.46,CUST2519,West
SALE10007,2023-04-10,USB Flash Drive 64GB,Storage,3,22.71,68.13,CUST5333,North
SALE10008,2024-04-15,USB Flash Drive 128GB,Storage,1,18.12,18.12,CUST7201,North
SALE10009,2024-07-19,Desk Lamp,Furniture,2,70.62,141.24,CUST6925,Central
SALE10010,2023-07-16,Power Bank,Accessories,1,24.17,24.17,CUST4733,East
SALE10011,2023-03-23,USB Microphone,Audio,4,84.92,339.68,CUST2654,West
SALE10012,2023-10-12,Screen Cleaner,Accessories,2,11.36,22.72,CUST6977,South
SALE10013,2024-01-15,USB Flash Drive 64GB,Storage,1,13.14,13.14,CUST5374,North
SALE10014,2024-09-15,Monitor Stand,Accessories,1,41.98,41.98,CUST5010,South
SALE10015,2024-04-18,Wireless Charger,Accessories,1,24.45,24.45,CUST4598,East
SALE10016,2023-02-27,USB Hub,Accessories,1,52.87,52.87,CUST6168,West
SALE10017,2023-10-02,Keyboard Mechanical,Accessories,1,105.32,105.32,CUST6155,South
SALE10018,2024-11-02,HDMI Cable,Cables,1,21.87,21.87,CUST8517,South
SALE10019,2023-09-29,Monitor 27in,Displays,1,249.33,249.33,CUST9830,East
SALE10020,2024-08-21,Laptop Bag,Accessories,1,111.83,111.83,CUST7543,East
SALE10021,2023-08-13,Monitor 27in,Displays,1,301.91,301.91,CUST2489,North
SALE10022,2023-04-23,Monitor 27in,Displays,1,325.49,325.49,CUST7916,Central
SALE10023,2023-03-07,Wireless Charger,Accessories,1,28.36,28.36,CUST8668,Central
SALE10024,2023-09-15,USB Flash Drive 128GB,Storage,1,36.52,36.52,CUST1188,North
SALE10025,2024-11-29,Ring Light,Accessories,2,65.27,130.54,CUST5371,East
SALE10026,2023-04-25,Desk Lamp,Furniture,1,48.91,48.91,CUST8433,North
SALE10027,2023-09-27,Keyboard Wrist Rest,Accessories,1,34.05,34.05,CUST9317,North
SALE10028,2024-10-02,Desk Lamp,Furniture,1,71.29,71.29,CUST9317,Central
SALE10029,2023-07-23,Monitor 27in,Displays,1,274.78,274.78,CUST3646,Central
SALE10030,2024-06-27,External SSD 1TB,Storage,1,80.04,80.04,CUST6310,West
SALE10031,2023-01-20,USB-C Cable,Cables,1,28.58,28.58,CUST6038,South
SALE10032,2023-03-01,USB Hub,Accessories,1,55.12,55.12,CUST2290,North
SALE10033,2024-05-12,Cable Management,Accessories,4,11.38,45.52,CUST9727,South
SALE10034,2023-05-12,Bluetooth Speaker,Audio,4,87.03,348.12,CUST3705,East
SALE10035,2024-06-24,USB Microphone,Audio,2,140.99,281.98,CUST4470,Central
SALE10036,2024-12-07,Headphones Wireless,Audio,1,231.11,231.11,CUST7537,East
SALE10037,2024-03-24,Ring Light,Accessories,1,63.82,63.82,CUST2982,South
SALE10038,2023-08-19,Keyboard Mechanical,Accessories,1,120.57,120.57,CUST4770,Central
SALE10039,2023-08-14,Laptop Pro 15,Computers,1,1242.6,1242.6,CUST1964,South
SALE10040,2023-03-11,Ring Light,Accessories,1,27.36,27.36,CUST6413,North
SALE10041,2024-06-10,USB Hub,Accessories,1,31.14,31.14,CUST8953,South
SALE10042,2024-07-06,Monitor 27in,Displays,1,344.67,344.67,CUST8744,South
SALE10043,2024-04-29,Desk Mat,Accessories,3,29.25,87.75,CUST2545,North
SALE10044,2024-11-05,Laptop Bag,Accessories,1,68.34,68.34,CUST7735,West
SALE10045,2023-02-25,Bluetooth Speaker,Audio,1,108.41,108.41,CUST2612,North
SALE10046,2024-02-17,USB-C Adapter,Accessories,1,26.88,26.88,CUST2790,South
SALE10047,2023-07-16,Headphones Wireless,Audio,1,188.71,188.71,CUST3296,West
SALE10048,2023-07-07,Laptop Stand,Accessories,1,62.38,62.38,CUST2235,West
SALE10049,2024-07-17,USB-C Cable,Cables,1,11.01,11.01,CUST9856,North
SALE10050,2023-04-06,External SSD 1TB,Storage,4,132.75,531.0,CUST4872,South
SALE10051,2024-02-21,HDMI Cable,Cables,2,24.44,48.88,CUST7570,North
SALE10052,2023-06-18,Wireless Charger,Accessories,4,15.08,60.32,CUST7396,East
SALE10053,2024-04-10,Desk Lamp,Furniture,3,48.27,144.81,CUST8973,South
SALE10054,2023-07-14,Desk Lamp,Furniture,1,36.97,36.97,CUST1958,Central
SALE10055,2024-07-09,Wireless Mouse,Accessories,3,37.44,112.32,CUST1936,North
SALE10056,2024-08-21,HDMI Cable,Cables,1,25.09,25.09,CUST9701,South
SALE10057,2023-02-28,Keyboard Wrist Rest,Accessories,1,17.0,17.0,CUST4044,North
SALE10058,2024-09-01,Keyboard Mechanical,Accessories,1,161.03,161.03,CUST4853,West
SALE10059,2023-05-03,Ring Light,Accessories,1,67.73,67.73,CUST1651,Central
SALE10060,2023-03-25,Laptop Bag,Accessories,1,92.59,92.59,CUST9565,East
SALE10061,2023-09-25,Headphones Wireless,Audio,1,220.73,220.73,CUST6147,South
SALE10062,2023-09-29,Wireless Charger,Accessories,2,19.58,39.16,CUST5915,West
SALE10063,2023-11-20,External SSD 1TB,Storage,1,132.63,132.63,CUST2188,North
SALE10064,2024-04-14,Desk Organizer,Furniture,1,49.95,49.95,CUST2638,North
SALE10065,2024-07-04,Headphones Wireless,Audio,1,181.41,181.41,CUST3170,East
SALE10066,2023-03-12,Ring Light,Accessories,1,43.32,43.32,CUST5669,South
SALE10067,2024-03-24,Cable Management,Accessories,2,20.86,41.72,CUST5956,Central
SALE10068,2024-10-31,Keyboard Wrist Rest,Accessories,1,15.2,15.2,CUST5905,North
SALE10069,2023-05-18,Laptop Stand,Accessories,5,38.08,190.39999999999998,CUST2753,Central
SALE10070,2023-06-09,Laptop Stand,Accessories,2,49.72,99.44,CUST4450,East
SALE10071,2023-07-28,Bluetooth Speaker,Audio,1,106.11,106.11,CUST5325,Central
SALE10072,2024-05-15,Laptop Stand,Accessories,1,93.37,93.37,CUST1832,North
SALE10073,2024-10-11,Laptop Bag,Accessories,2,106.35,212.7,CUST1722,North
SALE10074,2023-12-08,Laptop Sleeve,Accessories,2,25.23,50.46,CUST5291,South
SALE10075,2024-03-28,USB Flash Drive 128GB,Storage,2,32.64,65.28,CUST1158,North
SALE10076,2023-03-19,Ring Light,Accessories,2,76.83,153.66,CUST3442,Central
SALE10077,2023-02-06,Cable Management,Accessories,1,17.38,17.38,CUST3426,West
SALE10078,2023-05-11,Wireless Mouse,Accessories,1,24.25,24.25,CUST1653,East
SALE10079,2023-08-04,Bluetooth Speaker,Audio,1,59.94,59.94,CUST2684,East
SALE10080,2024-07-27,Ring Light,Accessories,3,90.6,271.79999999999995,CUST3532,South
SALE10081,2023-06-16,Desk Mat,Accessories,1,43.38,43.38,CUST7755,North
SALE10082,2023-07-03,USB-C Adapter,Accessories,1,47.36,47.36,CUST7745,South
SALE10083,2023-10-01,Webcam HD,Accessories,1,128.74,128.74,CUST2771,West
SALE10084,2023-02-09,USB Microphone,Audio,1,120.6,120.6,CUST4269,West
SALE10085,2023-12-25,Desk Lamp,Furniture,1,70.13,70.13,CUST4728,South
SALE10086,2023-01-25,Bluetooth Speaker,Audio,2,53.18,106.36,CUST6378,East
SALE10087,2023-03-13,Laptop Sleeve,Accessories,1,31.16,31.16,CUST9346,West
SALE10088,2024-11-26,Cable Management,Accessories,3,20.72,62.16,CUST1452,North
SALE10089,2023-09-25,Webcam HD,Accessories,1,108.06,108.06,CUST5349,North
SALE10090,2023-04-22,Desk Organizer,Furniture,1,30.21,30.21,CUST6139,West
SALE10091,2024-09-12,Keyboard Wrist Rest,Accessories,2,17.89,35.78,CUST4114,East
SALE10092,2023-02-15,Power Bank,Accessories,2,46.16,92.32,CUST9518,Central
SALE10093,2024-12-04,USB-C Adapter,Accessories,1,47.91,47.91,CUST4228,East
SALE10094,2024-03-17,Keyboard Mechanical,Accessories,2,193.86,387.72,CUST6409,Central
SALE10095,2023-11-18,Bluetooth Speaker,Audio,1,131.76,131.76,CUST5920,Central
SALE10096,2023-11-13,Bluetooth Speaker,Audio,1,79.01,79.01,CUST7592,East
SALE10097,2024-07-21,Monitor 27in,Displays,1,238.37,238.37,CUST7211,South
SALE10098,2024-09-22,Laptop Cooling Pad,Accessories,1,32.04,32.04,CUST9977,North
SALE10099,2023-11-08,Desk Lamp,Furniture,1,36.56,36.56,CUST6279,West
SALE10100,2024-03-28,Screen Cleaner,Accessories,1,11.76,11.76,CUST9375,West
SALE10101,2023-06-23,Bluetooth Speaker,Audio,1,40.18,40.18,CUST9445,Central
SALE10102,2023-12-10,Keyboard Mechanical,Accessories,1,178.21,178.21,CUST4848,East
SALE10103,2023-08-19,Desk Mat,Accessories,1,21.97,21.97,CUST1400,North
SALE10104,2023-09-08,HDMI Cable,Cables,3,28.34,85.02,CUST2193,West
